"","c...106.079272..35.032347.....106.068962..35.027495.....106.538399..35.192296..."
"1","-106.079272, 35.032347"
"2","-106.068962, 35.027495"
"3","-106.538399, 35.192296"
"4","-106.538655, 35.193269"
"5","-106.538655, 35.191743"
"6","-106.538361, 35.192305"
"7","-105.301642, 36.4261"
"8","-105.301642, 36.4261"
"9","-106.491387, 32.068885"
"10","-106.491387, 32.068885"
"11","-107.993611, 32.554167"
"12","-107.994444, 32.554444"
"13","-107.995696, 32.554816"
"14","-105.823889, 32.83"
"15","-105.702778, 32.951389"
"16","-105.541222, 33.3315"
"17","-105.725556, 33.336389"
"18","-106.380863, 36.509461"
"19","-106.328496, 36.597387"
"20","-106.419196, 36.501017"
"21","-106.328416, 36.564111"
"22","-105.316469, 35.51726"
"23","-105.959677, 35.387913"
"24","-105.959536, 35.38735"
"25","-105.610305, 36.47575"
"26","-106.710304, 34.775195"
"27","-106.385231, 35.075975"
"28","-106.373644, 35.088861"
"29","-106.384911, 35.075902"
"30","-106.768814, 32.256624"
"31","-106.768814, 32.256624"
"32","-108.131187, 32.706819"
"33","-108.131187, 32.706819"
"34","-108.131244, 32.706891"
"35","-108.128987, 32.701237"
"36","-108.131244, 32.706891"
"37","-106.438611, 36.186198"
"38","-106.478281, 35.304434"
"39","-106.477969, 35.304399"
"40","-106.478108, 35.304418"
"41","-107.88815, 36.6991"
"42","-107.99724, 36.69301"
"43","-105.463908, 35.241638"
"44","-106.017306, 35.711889"
"45","-105.627289, 36.456775"
"46","-105.081838, 35.184802"
"47","-108.861639, 32.1485"
"48","-108.86175, 32.14825"
"49","-106.599757, 36.698689"
"50","-106.599757, 36.698688"
"51","-106.59862, 36.69954"
"52","-106.455718, 35.306996"
"53","-106.453319, 36.306389"
"54","-106.704722, 34.854722"
"55","-106.318113, 35.103466"
"56","-106.318113, 35.103344"
"57","-108.86155, 32.148167"
"58","-105.677778, 33.499583"
"59","-105.689944, 33.499972"
"60","-105.689611, 33.500056"
"61","-107.746196, 32.213344"
"62","-108.86787, 35.4987"
"63","-108.867895, 35.498786"
"64","-108.86792, 35.49877"
"65","-104.924159, 35.818197"
"66","-104.924141, 35.818041"
"67","-105.813111, 32.913333"
"68","-106.356112, 36.165991"
"69","-106.449036, 35.30047"
"70","-106.451058, 35.293696"
"71","-106.439903, 35.291205"
"72","-106.448944, 35.300346"
